Iphone Model,Rating,ROM,Display,Front Camera,Processor,Price
"APPLE iPhone 12 Mini (Black, 128 GB)",4.6/5,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 45,999"
"APPLE iPhone 12 Mini (White, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone 12 Mini (Black, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone 12 (Blue, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone 12 Mini (Green, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone 12 (White, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone 12 Mini (Blue, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone 12 Mini (Red, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone 12 Mini (Purple, 64 GB)",4.6/5,64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 40,999"
"APPLE iPhone SE (White, 64 GB)",4.5/5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 30,199"
"APPLE iPhone SE (Black, 64 GB)",4.5/5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 30,199"
"APPLE iPhone 12 (Green, 128 GB)",4.7/5,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 57,999"
"APPLE iPhone 12 Mini (White, 128 GB)",4.6/5,128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 45,999"
"APPLE iPhone SE (Red, 64 GB)",4.5/5,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 30,199"
"APPLE iPhone 12 (Black, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone 12 (Green, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone SE (White, 128 GB)",4.5/5,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 35,199"
"APPLE iPhone 12 (Red, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone SE (Black, 128 GB)",4.5/5,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 35,199"
"APPLE iPhone 12 (Purple, 64 GB)",4.7/5,64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 52,999"
"APPLE iPhone SE (Red, 128 GB)",4.5/5,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Rs. 35,199"
"APPLE iPhone 12 (Blue, 256 GB)",4.7/5,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 67,999"
"APPLE iPhone 12 (Green, 256 GB)",4.7/5,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,"Rs. 67,999"
"APPLE iPhone XR (White, 128 GB)",4.6/5,128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,"Rs. 49,999"
